gender,score_type,median_score
both,severe_toxicity,0.0260150905
female,severe_toxicity,0.052903652
male,severe_toxicity,8.905691e-05
none,severe_toxicity,3.6705707e-05
both,obscene,0.89071772
female,obscene,0.94064593
male,obscene,0.0129289165
none,obscene,0.0046417294
both,identity_attack,0.018758179
female,identity_attack,0.018992838
male,identity_attack,0.00184753955
none,identity_attack,0.0012797004
both,insult,0.59724913
female,insult,0.7041455
male,insult,0.0281409525
none,insult,0.010008812
both,threat,0.0014146546
female,threat,0.0014154777
male,threat,0.00030484777
none,threat,0.00021780012
both,sexual_explicit,0.33728868
female,sexual_explicit,0.49138233
male,sexual_explicit,0.0018356007
none,sexual_explicit,0.0010817188
